0.496096,0.496096,0.496098,0.496102,0.496107,0.496115,0.496126,0.496141,0.496161,0.496188,0.496223,0.496268,0.496326,0.496398,0.496487,0.496596,0.496727,0.496885,0.497072,0.497292,0.497547,0.49784,0.498175,0.498553,0.498977,0.499447,0.499963,0.500526,0.501135,0.501786,0.502477,0.503204,0.503962,0.504743,0.505543,0.506352,0.507163,0.507967,0.508756,0.50952,0.51025,0.51094,0.51158,0.512164,0.512687,0.513144,0.513531,0.513846,0.514089,0.514259,0.51436,0.514394,0.514366,0.51428,0.514143,0.51396,0.51374,0.513489,0.513214,0.51292,0.512615,0.512303,0.511988,0.511674,0.511364,0.511057,0.510754,0.510454,0.510154,0.509851,0.509542,0.509222,0.508886,0.50853,0.508148,0.507737,0.507292,0.506812,0.506293,0.505736,0.505141,0.50451,0.503847,0.503156,0.502445,0.501719,0.500987,0.500257,0.49954,0.498843,0.498176,0.497547,0.496964,0.496435,0.495964,0.495555,0.495212,0.494936,0.494727,0.494581,0.494498
0.500055,0.500056,0.500062,0.500072,0.500086,0.500106,0.500132,0.500166,0.500208,0.500259,0.500322,0.500398,0.500487,0.500592,0.500712,0.500849,0.501004,0.501175,0.501362,0.501565,0.50178,0.502006,0.502239,0.502473,0.502706,0.502929,0.503138,0.503326,0.503484,0.503606,0.503684,0.503711,0.503681,0.503588,0.503427,0.503195,0.50289,0.502511,0.502061,0.501543,0.500962,0.500324,0.499641,0.49892,0.498176,0.49742,0.496666,0.495929,0.495223,0.494561,0.493957,0.493423,0.492969,0.492604,0.492335,0.492168,0.492105,0.492146,0.49229,0.492534,0.492871,0.493294,0.493795,0.494363,0.494987,0.495655,0.496356,0.497076,0.497805,0.498531,0.499243,0.499931,0.500587,0.501201,0.501768,0.502282,0.502738,0.503133,0.503466,0.503735,0.503939,0.504081,0.504162,0.504185,0.504153,0.504069,0.50394,0.503769,0.503562,0.503325,0.503063,0.502784,0.502492,0.502193,0.501894,0.501599,0.501313,0.501041,0.500787,0.500553,0.500343
0.496226,0.496235,0.496262,0.496308,0.496374,0.496462,0.496574,0.496713,0.49688,0.497079,0.497313,0.497582,0.49789,0.498238,0.498627,0.499057,0.499528,0.500037,0.500582,0.501159,0.501764,0.502391,0.503033,0.503683,0.504333,0.504974,0.505598,0.506196,0.506759,0.507279,0.50775,0.508163,0.508515,0.5088,0.509017,0.509163,0.509239,0.509248,0.509191,0.509073,0.5089,0.508679,0.508415,0.508118,0.507795,0.507454,0.507104,0.506752,0.506405,0.506071,0.505755,0.505463,0.5052,0.504969,0.504772,0.504614,0.504494,0.504414,0.504374,0.504375,0.504414,0.504491,0.504604,0.504751,0.504929,0.505134,0.505363,0.505613,0.505877,0.506151,0.506429,0.506706,0.506975,0.507229,0.507461,0.507665,0.507835,0.507963,0.508044,0.508073,0.508045,0.507957,0.507805,0.507588,0.507307,0.506961,0.506553,0.506087,0.505566,0.504997,0.504386,0.503741,0.503069,0.502379,0.501679,0.500979,0.500287,0.499612,0.498961,0.498341,0.497759
0.500627,0.500642,0.500688,0.500764,0.500871,0.501007,0.501173,0.501366,0.501585,0.501828,0.502093,0.502376,0.502672,0.502977,0.503285,0.50359,0.503884,0.50416,0.504411,0.504627,0.504802,0.504928,0.504997,0.505004,0.504944,0.504812,0.504606,0.504326,0.503972,0.503548,0.503057,0.502506,0.501903,0.501255,0.500573,0.499869,0.499152,0.498435,0.497728,0.497043,0.49639,0.495777,0.495212,0.494702,0.494251,0.493863,0.493539,0.49328,0.493083,0.492946,0.492866,0.492838,0.492857,0.492916,0.49301,0.493133,0.49328,0.493446,0.493626,0.493818,0.494017,0.494224,0.494436,0.494655,0.494881,0.495115,0.49536,0.495618,0.495893,0.496186,0.496501,0.49684,0.497204,0.497594,0.49801,0.498452,0.498918,0.499404,0.499907,0.500423,0.500945,0.501466,0.501981,0.502481,0.502958,0.503406,0.503816,0.504182,0.504497,0.504757,0.504957,0.505094,0.505167,0.505176,0.505122,0.505007,0.504836,0.504613,0.504345,0.504039,0.503702
0.498257,0.498295,0.498407,0.498593,0.498849,0.499172,0.499557,0.499997,0.500486,0.501017,0.50158,0.502166,0.502766,0.50337,0.503966,0.504545,0.505097,0.505612,0.506082,0.506497,0.506853,0.507143,0.507364,0.507514,0.50759,0.507596,0.507532,0.507404,0.507216,0.506975,0.506689,0.506365,0.506011,0.505638,0.505252,0.504863,0.504478,0.504103,0.503746,0.503411,0.503102,0.502822,0.502574,0.502358,0.502174,0.502022,0.501901,0.501807,0.50174,0.501696,0.501673,0.501669,0.501679,0.501703,0.501737,0.501779,0.501829,0.501884,0.501943,0.502006,0.502072,0.50214,0.502212,0.502286,0.502364,0.502446,0.502533,0.502626,0.502725,0.502832,0.502947,0.503073,0.503209,0.503356,0.503516,0.503687,0.503872,0.504068,0.504275,0.504492,0.504716,0.504945,0.505176,0.505405,0.505627,0.505837,0.50603,0.5062,0.506341,0.506448,0.506514,0.506534,0.506503,0.506417,0.506272,0.506067,0.5058,0.505471,0.505082,0.504635,0.504136
0.504509,0.504529,0.504586,0.504679,0.504801,0.504947,0.505109,0.505277,0.505442,0.505592,0.505719,0.505811,0.50586,0.505856,0.505794,0.505667,0.505472,0.505209,0.504876,0.504477,0.504016,0.503498,0.502933,0.502328,0.501693,0.501039,0.500377,0.499717,0.49907,0.498445,0.497852,0.497298,0.496789,0.49633,0.495924,0.495573,0.495277,0.495036,0.494846,0.494704,0.494606,0.494547,0.494522,0.494524,0.494548,0.494588,0.494639,0.494697,0.494757,0.494815,0.494869,0.494917,0.494957,0.494989,0.495012,0.495027,0.495036,0.495038,0.495037,0.495034,0.495031,0.495031,0.495036,0.495048,0.495069,0.495101,0.495147,0.495207,0.495285,0.49538,0.495494,0.495628,0.495783,0.49596,0.496158,0.49638,0.496624,0.49689,0.49718,0.497492,0.497825,0.49818,0.498555,0.498949,0.499361,0.499788,0.500228,0.500678,0.501135,0.501595,0.502054,0.502506,0.502948,0.503373,0.503776,0.504152,0.504495,0.504799,0.50506,0.505273,0.505435
0.507033,0.507042,0.507068,0.507108,0.507159,0.507217,0.507275,0.507328,0.507369,0.507392,0.507391,0.507359,0.507292,0.507187,0.507041,0.506853,0.506624,0.506356,0.506053,0.505717,0.505356,0.504975,0.50458,0.504179,0.503779,0.503386,0.503006,0.502645,0.502307,0.501997,0.501717,0.501469,0.501253,0.50107,0.500918,0.500796,0.500702,0.500634,0.500587,0.50056,0.500549,0.500551,0.500562,0.500581,0.500606,0.500632,0.50066,0.500688,0.500713,0.500736,0.500756,0.500773,0.500785,0.500794,0.5008,0.500802,0.500801,0.500799,0.500794,0.500789,0.500783,0.500777,0.500772,0.50077,0.500769,0.500772,0.50078,0.500791,0.500809,0.500833,0.500863,0.500902,0.500949,0.501005,0.501071,0.501148,0.501236,0.501336,0.501448,0.501573,0.501711,0.501863,0.502028,0.502207,0.502398,0.502602,0.502817,0.503043,0.503277,0.503517,0.503763,0.504009,0.504255,0.504496,0.504729,0.504948,0.505151,0.505332,0.505486,0.505609,0.505696
0.5118,0.511743,0.511571,0.51129,0.510902,0.510416,0.509839,0.509183,0.508458,0.507676,0.506849,0.505992,0.505118,0.504238,0.503366,0.502512,0.501688,0.500901,0.500162,0.499474,0.498845,0.498275,0.497769,0.497325,0.496943,0.49662,0.496354,0.49614,0.495974,0.495851,0.495764,0.495709,0.49568,0.495671,0.495678,0.495696,0.495721,0.49575,0.49578,0.495808,0.495833,0.495853,0.495869,0.495879,0.495883,0.495883,0.495878,0.495869,0.495858,0.495845,0.495832,0.495818,0.495805,0.495794,0.495786,0.495779,0.495776,0.495775,0.495778,0.495783,0.495791,0.495801,0.495813,0.495827,0.495843,0.49586,0.495878,0.495897,0.495917,0.495939,0.495964,0.495991,0.496022,0.496057,0.496097,0.496144,0.4962,0.496265,0.49634,0.496429,0.496531,0.496649,0.496784,0.496938,0.497112,0.497307,0.497524,0.497765,0.498028,0.498316,0.498627,0.498961,0.499317,0.499693,0.500087,0.500498,0.500921,0.501354,0.501793,0.502233,0.502671
0.516239,0.516165,0.515943,0.515579,0.515082,0.514463,0.513736,0.512917,0.512024,0.511076,0.510091,0.50909,0.508089,0.507107,0.506158,0.505256,0.504413,0.503636,0.502933,0.502307,0.50176,0.501291,0.500898,0.500576,0.50032,0.500124,0.499981,0.499882,0.499822,0.499792,0.499786,0.499797,0.49982,0.49985,0.499882,0.499915,0.499945,0.49997,0.49999,0.500004,0.500011,0.500013,0.500011,0.500004,0.499994,0.499982,0.499968,0.499955,0.499941,0.49993,0.499919,0.499911,0.499905,0.499902,0.4999,0.499901,0.499904,0.499908,0.499914,0.499921,0.499928,0.499936,0.499943,0.499951,0.499958,0.499965,0.499972,0.499978,0.499983,0.499988,0.499992,0.499997,0.500002,0.500008,0.500015,0.500025,0.500037,0.500052,0.500072,0.500097,0.500127,0.500165,0.500211,0.500265,0.500329,0.500404,0.50049,0.500588,0.500698,0.500822,0.500959,0.501111,0.501277,0.501456,0.50165,0.501857,0.502077,0.502308,0.502549,0.502798,0.503053
0.509206,0.509161,0.509029,0.50881,0.508509,0.508132,0.507685,0.507176,0.506613,0.506007,0.505366,0.504701,0.504022,0.503339,0.502661,0.501996,0.501354,0.50074,0.500161,0.499621,0.499124,0.498672,0.498267,0.497908,0.497596,0.497328,0.497102,0.496915,0.496764,0.496645,0.496554,0.496487,0.496441,0.496412,0.496396,0.49639,0.496392,0.496399,0.49641,0.496422,0.496435,0.496447,0.496458,0.496468,0.496476,0.496482,0.496486,0.496489,0.496491,0.496491,0.49649,0.496488,0.496486,0.496484,0.496481,0.496479,0.496476,0.496474,0.496472,0.49647,0.496468,0.496467,0.496466,0.496465,0.496464,0.496464,0.496464,0.496465,0.496467,0.49647,0.496473,0.496478,0.496485,0.496493,0.496502,0.496514,0.496528,0.496544,0.496563,0.496585,0.496611,0.49664,0.496674,0.496713,0.496757,0.496809,0.496868,0.496937,0.497016,0.497106,0.497209,0.497327,0.49746,0.49761,0.497778,0.497966,0.498173,0.498402,0.498652,0.498924,0.499217
